4/20/12 6:31,jpgalleguillos,54536334,jp galleguillos,The Case for Starting a Design Revolution - Michael Schrage - Harvard Business Review http://t.co/97ihC3e8 (via Instapaper),"viÃ±a del mar, chile",Santiago,660,75,72,Instapaper,-33.024527,-71.55234,2
4/20/12 6:31,We_Write_4_Web,355947737,The Write Connection,Only 36 percent of tweets worth reading http://t.co/7b72mYbg this fact and more from a Harvard Business Review study,Worldwide,Pacific Time (US & Canada),1719,5275,4636,SocialOomph,39.0841968,-84.7227071,2
4/20/12 6:30,Cambridge_Job,318557070,Cambridge Jobs USA,"Cambridge Jobs: Corbu Spa Concierge - The Charles Hotel Harvard Sq. Cambridge, MA Job at Charles... http://t.co/urXgbaA2 #Jobs #Cambridge","Cambridge, Massachusetts",,6598,78,0,dlvrit,42.3736158,-71.1097335,2
4/20/12 6:29,naveed3,62285602,Naveed Ahmed,RT @HarvardBiz - Is Your Smartphone Making You Less Productive? - Ndubuisi Ekekwe - Harvard Business Review: http://t.co/qet2SgqC,"Pune, India",Chennai,2075,188,90,TweetButton,18.5204303,73.8567437,2
4/20/12 6:29,ahauslohner,132476518,Abigail Hauslohner,"RT @amworldtodaypm: Tonight on @FridayLate @colvinius with Libya reporter @ahauslohner, Harvard professor @Joe_Nye & French journalist @AgnesCPoirier. RN 10pm.","Cairo, Egypt",Cairo,1159,5099,448,web,30.04449,31.2356947,4
4/20/12 6:29,phyrish,252537701,Patricia Hohl,Much to learn here. @Kennedy_School: Working Paper Spotlights Innovative Public Programs in Small Countries http://t.co/SYqGaBKU,"Massachusetts, USA",,241,48,293,TwitterforiPhone,42.4072107,-71.3824374,2
4/20/12 6:27,yale_tennis,97335561,Yale Tennis,YALE vs. HARVARD!!!  Come out and support the Bulldogs today at 2pm as they look to claim at least a share of the... http://t.co/VVhkrmye,"New Haven, CT",Central Time (US & Canada),2076,305,8,Facebook,41.3081527,-72.9281577,2
4/20/12 6:27,SextonPhysio,365509124,Mark Sexton,"Tip of the week 2: Laugh more (and reduce heart disease 50%) http://t.co/N4E4gNB2 I laugh and drink red wine, and laugh more. Not this early","Dublin, Ireland",Dublin,528,79,264,web,53.344104,-6.2674937,4
4/20/12 6:25,DaRealDOA,196538955, â™« D.O.A â™«,Wish I went to Harvard,Londres - Anglettere ,,9669,181,365,TwitterforBlackBerry,51.5081289,-0.128005,0
4/20/12 6:25,kevincaldwell,15210060,kevin caldwell ,â€œ@Harvard: Positive Feelings May Help Protect Cardiovascular Health http://t.co/BYYfUNtZâ€ù,"Dallas, Texas ",Central Time (US & Canada),2367,965,895,TwitterforiPhone,32.802955,-96.769923,2
4/20/12 6:25,AD_GTH,132418533,R&C CONSULTORES PYME,"Top story: To Win Big, It Helps to Be a Little ""Nuts"" - Bill Taylor - Harvard Business â€_ http://t.co/IVmLTwn9, see more http://t.co/VkYrotPV","AnzoÃ¡tegui, Venezuela",La Paz,2394,151,117,TheTweetedTimes,8.5913073,-63.9586111,2
4/20/12 6:24,NewsReputation,381406069,Media&Reputation,"The Invisible Hand, Federal Reserve, Merkel and the crisis. via Harvard Business Review http://t.co/p2hdKSyW","Pamplona, Spain",Greenland,1689,515,857,web,42.8179879,-1.6441835,2
4/20/12 6:23,adityasurte,125268566,Aditya Suhas Surte,"Worth a read 
RT @HarvardBiz - Choosing Between Making Money and Doing What You Love - Harvard Business Review: http://t.co/qcNglcW6",Mumbai (India),Mumbai,151,42,169,TweetButton,19.0759837,72.8776559,2
4/20/12 6:23,I_am_Pinque,323873213,Sixolise Maboza,"""@scoopmakhathini: Smoking weed under star projectors,i guess we'll never know where Harvard gets us""...Happy 4:20 to all concerned.""",port elizabeth,Hawaii,63,16,39,TwitterforBlackBerry,-33.93264,25.56995,4
4/20/12 6:22,myriamdacosta,259054018,Myriam Da Costa,"RT @HarvardBiz - Be Proud of Your Accomplishments, Not Your Affiliations - Daniel Gulati - Harvard Business Review: http://t.co/cVKfITQ4",London ,London,209,38,42,TweetButton,51.5081289,-0.128005,2
4/20/12 6:17,RakesshPs,19104180,Rakessh P,#MumbaiTip NM & Mithibai are not less then 'Harvard university' for us !! ;),Mumbai,Mumbai,25744,558,340,Echofon,19.0759837,72.8776559,2
4/20/12 6:16,DRossingh,59081700,Danielle Rossingh,How a former Morgan Stanley Banker gave up a lot of green for a shot at rowing gold for the U.S. - http://t.co/Ey6L1K94,"London, UK",London,1336,601,427,TweetButton,51.5081289,-0.128005,2
4/20/12 6:16,katieeeehan,303013959,Kate Ashley Han,"RT @BourbonAgedNeat: Hey Obama, did the Harvard Business School do a case study on how you turned around a failing organization? #ExperienceMatters #Romney2012","Lafayette, IN",Indiana (East),4560,243,205,TwitterforiPhone,40.4167022,-86.8752869,2
4/20/12 6:16,assalino,45688898,Andre Assalino,"Want to attend lectures from MIT, Stanford and Harvard? Check out Academic Earth - http://t.co/tcXXkUms",London,London,2857,529,323,TweetDeck,51.5081289,-0.128005,2
4/20/12 6:14,Hughjvc2qvj,558584640,Hugh Sundstrom ,"Thus far, the reputed idiot Bush has graduated from Yale and Harvard, made a stack of cash in the oil industry, become the first consecutive",Boston,,3,0,2,MobileWeb,42.3584308,-71.0597732,2
4/20/12 6:13,iAmNunah,242048993,Loriee_Zolanski,"Smoking weed under star projectors, guess we'll know where Harvard gets us!! Happy 420 to all",Moscow,Athens,1390,857,828,TwitterforBlackBerry,55.7427928,37.6154009,4
4/20/12 6:13,bluegrasslvr,366498805,Robin Butter,@ericbolling ? 4 u. How did prez get into harvard w/ C avg? Affirm action?,Austin Tx,,44,6,65,TwitterforBlackBerry,30.267153,-97.7430608,2
4/20/12 6:13,maeuoa,34237683,Mark Odero,RT @HarvardBiz - Wilderness Leadershipâ€”on the Job - Harvard Business Review: http://t.co/5CgGNGZ4,Nairobi Kenya,,9619,178,257,TweetButton,-1.2920659,36.8219462,2
4/20/12 6:12,AdamKariel,258448040,Mohamed Adam Kariel,@DavidOtunga is the best that the WWE and Harvard has to offer!,"Cape Town, South Africa",Harare,36922,198,172,TwitterforBlackBerry,-33.9248685,18.4240553,2
4/20/12 6:12,maeuoa,34237683,Mark Odero,RT @HarvardBiz - Managing Yourself: Five Ways to Bungle a Job Change - Harvard Business Review: http://t.co/c4vOCMih,Nairobi Kenya,,9619,178,257,TweetButton,-1.2920659,36.8219462,2
4/20/12 6:12,ohpcenter,360552136,ohpcenter.org,SEE YOU THERE! May 3: A Debate on Government & Medical Innovation at Harvard. http://t.co/LSt79rSQ @benrushsociety,"MA, NH, VT",Eastern Time (US & Canada),1319,202,369,web,43.205382,-70.875468,2
4/20/12 6:11,maeuoa,34237683,Mark Odero,RT @HarvardBiz - Creating an Organic Growth Machine - Harvard Business Review: http://t.co/5JjadMFp,Nairobi Kenya,,9619,178,257,TweetButton,-1.2920659,36.8219462,2
4/20/12 6:11,amworldtodaypm,74950126,ABC Radio,"Tonight on @FridayLate @colvinius with Libya reporter @ahauslohner, Harvard professor @Joe_Nye & French journalist @AgnesCPoirier. RN 10pm.",Australia,Sydney,19864,11711,2587,web,-25.274398,133.775136,4
4/20/12 6:11,darrenharpersle,339952732,Darren Harper,Harvard University Review: Optimism Is Heart Healthy - Huffington Post Canada,"Akron, OH",,4173,172,120,web,41.0814447,-81.5190053,2
4/20/12 6:11,HarvarBusinAOD,389961152,Madisyn Harper,Cable Executive Management at Harvard Business School Presents: A Conversation with Comcastâ€™s Neil Smit and Harvard ...,"Greensboro, NC",,936,19,0,web,36.0726354,-79.7919754,2
4/20/12 6:11,Ivan_Pratama_G,352165989,\(Â´â–_`)/ Ivan Pratama,RT @Harvard: Positive Feelings May Help Protect Cardiovascular Health http://t.co/SakmlP01,Indonesia,,2744,705,164,berSocialforBlackBerry,-0.789275,113.921327,2
4/20/12 6:11,braylonmarshalo,361829801,Braylon Marshall,Harvard Alumni Participate in Global Month of Service to Provide Free Leadership Training for G.U.R.L.S. Rock,"St. Louis, MO",,3856,265,317,web,38.6270025,-90.1994042,2
4/20/12 6:11,viviandavisglea,366457888,Vivian Davis,Carey Studies Schizophrenia - Harvard Crimson,"Columbus, OH",,3669,70,62,web,39.9611755,-82.9987942,2
4/20/12 6:10,maeuoa,34237683,Mark Odero,"RT @HarvardBiz - Practice Being a Leader - Management Tip of the Day - April 19, 2012 - Harvard Business Review: http://t.co/Bv2tZG7K",Nairobi Kenya,,9619,178,257,TweetButton,-1.2920659,36.8219462,2
4/20/12 6:10,MorgWestop,360491974,Morgan Western,"Vitamin D Supplementation Shown to Boost Testosterone Levels in Men, According to Harvard School of Public Health Study","St. Louis, MO",,4019,211,321,web,38.6270025,-90.1994042,2
4/20/12 6:10,GarryDulgar,256987788,Dr. Garry Dulgar,"http://t.co/It8kajy0
Good reading.....","Lady Lake, Florida, USA",Central Time (US & Canada),633,7,0,TwitterforiPhone,28.9174855,-81.9228604,2
4/20/12 6:10,MmabatooMaju,267708292,Mmabatho Majudaâ™¥,"RT @scoopmakhathini: Smoking weed under star projectors,i guess we'll never know where Harvard gets us""...Happy 4:20 to all concerned.""",Johannesburg,Harare,2736,202,181,TwitterforBlackBerry,-26.2041028,28.0473051,4
4/20/12 6:09,killah_kattSA,104445037,Dubbz Dinero,"RT @scoopmakhathini: Smoking weed under star projectors,i guess we'll never know where Harvard gets us""...Happy 4:20 to all concerned.",South Africa the motherland!!!,Greenland,11886,439,187,berSocialforBlackBerry,0.6158193,34.7608562,4
4/20/12 6:09,digitalseven,5843602,Uwe Stoll,The $300 House: A Hands-On Lab for Reverse Innovation? - Vijay Govindarajan - Harvard Business Review http://t.co/Bijrz98k,"Munich, Germany",Paris,29565,694,464,dlvrit,48.1366069,11.5770851,2
